Ticker,Name,GICS Sector,GICS Industry,Quote Page PVs for last 90 days,Last covered,Current Payment,Pending Review
FSLY,"Fastly, Inc.",Information Technology,IT Services,114542,07/15/2026,$45,FALSE
BB,BlackBerry Limited,Information Technology,Software,114204,07/01/2026,$45,FALSE
AMKR,"Amkor Technology, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,84303,07/05/2026,$45,FALSE
BMNR,"Bitmine Immersion Technologies, Inc.",Information Technology,Software,79978,07/10/2026,$45,FALSE
TEAM,Atlassian Corporation,Information Technology,Software,75759,06/18/2026,$45,FALSE
SOUN,"SoundHound AI, Inc.",Information Technology,Software,72747,07/17/2026,$45,FALSE
QUBT,Quantum Computing Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",70653,07/02/2026,$45,FALSE
MRAM,"Everspin Technologies, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,62549,07/18/2026,$45,FALSE
TSEM,Tower Semiconductor Ltd.,Information Technology,Semiconductors & Semiconductor Equipment,62078,06/19/2026,$45,FALSE
FSLR,"First Solar, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,60494,07/17/2026,$45,FALSE
